image_path,ocr_text,yolo_classes,yolo_confs,topic
dataset/raw/bag/bag_01.jpg,РЮКЗАК BAILIQI УНИСЕКС 20 ЛИТРОВ 16 УЧЕБА РАБОТА НОУТБУК РУЧНАЯ КЛАДЬ ЛЮБАЯ ПОГОДА ПУТЕШЕСТВИЯ СПОРТ ОТДЫХ УЧЁБА 2025 inша BAILIQI Е ГОТОВ,person;suitcase;handbag,0.8584;0.5883;0.4836,bags
dataset/raw/bag/bag_02.jpg,ДЕТАЛИ ФУРНИТУРА ИЗ МЕТАЛЛА РОВНЫЕ швы ПРОЧНЫЕ ЛЯМКИ И РУЧКИ,suitcase,0.5845,bags
dataset/raw/bag/bag_03.jpg,С!mи защита от влаги 3 способаб носки НАБЕДРЕННИАЯ,suitcase;suitcase;suitcase,0.8096;0.4671;0.3747,bags
dataset/raw/bag/bag_04.jpg,РАЗМЕРЫ 18х9Х1Зсм в комплекте 1 плечевой ремень Juin aua пlеи,suitcase,0.7877,bags
dataset/raw/bag/bag_05.jpg,"SUPRA L U G G А G Е УЛЬТРАПРОЧ АЫЙ ЧЕМОДАН МАЛЕНЬКИЙ s 4Ол 57ХЗ7Х2З CM 2,6 Кг",suitcase;suitcase;surfboard,0.8002;0.4283;0.4099,bags
dataset/raw/bag/bag_06.jpg,УНИВЕРАЛЬНЫЙ РЮКЗАК для школьников и студентов смотреть вмещает А4 видео ноутбук 13' KG нагрузка до 10 кг идеально для тетрадей и книг МИШКА В ПОДАРОК,teddy bear,0.9173,bags
dataset/raw/bag/bag_07.jpg,РЮКЗАК шu,laptop;keyboard;remote;cell phone;cell phone,0.9159;0.8049;0.7392;0.7313;0.6682,bags
dataset/raw/bag/bag_08.jpg,РЮКЗАК школьный УНИВЕРСАЛЬНЫЙ АНАТОМИЧЕСКАЯ спинка 0 0 ЗАЩИТА от влаги USB порт ВМЕСТИМОСТЬ до 25 литров 5 отделений,suitcase;cell phone;person,0.9232;0.8854;0.7058,bags
dataset/raw/bag/bag_09.png,ПРоЧНЫЙ И ДОЛГОВЕЧНЫЙ ЗАЩИТА ОТ влаги ДВОйНАЯ молния НАДЕЖНЫЕ швы КАЧЕСТВЕННАЯ фурнитура УСИЛЕННАЯ ручка,baseball glove;suitcase;suitcase;mouse,0.7892;0.7039;0.6379;0.4023,bags
dataset/raw/bag/bag_10.png,ПАРАМЕТРЫ ВМЕЩАЕТ ДО 20 ЛИТРОВ 43 CM 29 СM 15 CM,suitcase;suitcase,0.7647;0.6262,bags
dataset/raw/bag/bag_11.png,ИДЕАЛЕН ДЛЯ РУЧНОЙ КЛАДИ ПОДОЙДЕТ для: школы ТРЕНИРОВОК ПУТЕШЕСТВИЙ,person;suitcase;suitcase,0.9412;0.5358;0.4491,bags
dataset/raw/bag/bag_12.png,Потайной карман сзади для документов Боковой карман для воды minomo 5 карманов,backpack,0.5597,bags
dataset/raw/bag/bag_13.png,BRAUBERG Фронтальный карман Влагостойкий 350 г,backpack,0.5294,bags
dataset/raw/bag/bag_14.png,котофеб ШКОЛЬНЫЙ РЮКЗАК Для ребенка ростом от 145 до 170 см Безопасный для детского позвоночника Лёгкий всего 700 г 011 0101 01 Вмещается ноутбук и планшет,,,bags
dataset/raw/bag/bag_15.png,ЛЯМКИ РЕГУЛИРУЮТСЯ ПОД РОСТ РЕБЁНКА От 42 до 82 см ГРУДНАЯ СТЯЖКА снимает нагрузку c поясничного отдела,backpack,0.6618,bags
dataset/raw/bag/bag_16.png,ВМЕСТИТЕЛЬНЫЙ И ЛЁГКИЙ 4 отделения + 2 боковых кармана (м!э СВЕТООТРАЖАЮЩИЕ ЭЛЕМЕНТЫ для безопасности в темное время суток,suitcase;handbag,0.7386;0.4039,bags
dataset/raw/bag/bag_17.webp,deVCnTC РЮКЗАК А4 вмещает ФОРМАТ А4 8 g 1Iг}& o^ 29 см 15' Шvслтст uше 17 вмещает НОУТБУК ~енн,backpack;backpack,0.8445;0.7075,bags
dataset/raw/bag/bag_18.webp,СПОРТИВНАЯ Отделение СУМКAА для мокрых вещей Отделение для обуви,person;handbag,0.8618;0.6087,bags
dataset/raw/bag/bag_19.webp,ДОПОЛНИТЕЛЬНЫЙ КАРМАН HА МОЛНИИ ВМЕСТИТЕЛЬНОЕ ОСНОВНОЕ ОТДЕЛЕНИЕ ОТДЕЛЕНИЕ ДЛЯ МОКРЫХ ВЕЩЕЙ КАРМАН ДЛЯ ОБУВИ КАРМАН ДЛЯ ТЕЛЕФОНА,motorcycle;airplane,0.6442;0.3737,bags
dataset/raw/bag/bag_20.webp,ПОДХОДИТ ДЛЯ РУЧНОЙ КЛАДИ большинства авиакомпаний 2бсм БОсм S7 Уральские Аэрофлот Utair Airlines авиалинии,handbag,0.7863,bags
dataset/raw/bag/bag_21.webp,В КОМПЛЕКТЕ ЕСТЬ РЕГУЛИРУЕМЫЙ ПЛЕЧЕВОЙ РЕМЕНЬ КАЧЕСТВЕННАЯ ПРОСТРОЧКА ШВОВ Hoзcito,suitcase;suitcase;toaster;handbag,0.8873;0.6725;0.5236;0.5020,bags
dataset/raw/bag/bag_22.webp,ДЕТСКИЙ ЧЕМОШАН И БЬЮТИ-КЕИС Кг колеса вращаются на 360 5 размер,,,bags
dataset/raw/bag/bag_23.webp,НАДЕЖНЫЙ ВМЕСТИТЕЛЬНЫЙ ЛЕГКИЙ ВЫДЕРЖИВАЕТ НАГРУЗКУ 4Окг 3 BEС ВСЕГО 9 $ З2кг 3 9 4] см сM 15 б4см высота чемодана с колесами,stop sign;stop sign;suitcase,0.8887;0.8055;0.7063,bags
dataset/raw/bag/bag_24.webp,ПОЛИУРЕТАНОВЫЕ КОЛЕСА износостойкие маневренные бесшумные ДВЕ РУЧКИ ДЛЯ ПЕРЕНОСА эргономичные удобные прочные DN КОДОВЫЙ ЗАМОК С СИСТЕМОЙ TSA: Обеспечивает защиту содержимого багажа: NeNcoм,suitcase;skateboard;remote,0.7712;0.4167;0.3550,bags
dataset/raw/bag/bag_25.webp,"BСЕ, ЧТО НУЖНО В ОДНОМ ЧЕМОДАНЕ Удобный карман для пауэрбанка + USB-разъем для зарядки Смартфон больше не сядет в самый неудобный момент путешествия; теперь Вы всегда онлайн",person;cell phone;suitcase;toaster,0.9097;0.6392;0.5000;0.4372,bags
dataset/raw/chair/chair_01.jpg,АгЕгтал оtпвалв,tv;wine glass,0.6830;0.5281,chairs
dataset/raw/chair/chair_02.jpg,OFFICE CHAIR LET YOU ENJOY 8 WORKING TIME QUIETLY 1 8 3,chair;chair;chair;chair;chair,0.9488;0.9411;0.9401;0.9325;0.9285,chairs
dataset/raw/chair/chair_03.jpg,Zelvira Cw Lmbrrli,book,0.5372,chairs
dataset/raw/chair/chair_04.jpg,,chair;chair;chair;bird,0.7012;0.6183;0.5748;0.3795,chairs
dataset/raw/chair/chair_05.jpg,,,,chairs
dataset/raw/chair/chair_06.jpg,,chair;airplane,0.7215;0.4145,chairs
dataset/raw/chair/chair_07.jpg,,chair;chair;chair;chair;chair,0.9412;0.9401;0.9390;0.9257;0.9095,chairs
dataset/raw/chair/chair_08.jpg,,chair;potted plant;potted plant;chair;chair,0.7931;0.7896;0.7365;0.6392;0.4892,chairs
dataset/raw/chair/chair_09.jpg,613,chair;potted plant;vase,0.9431;0.9029;0.4945,chairs
dataset/raw/chair/chair_10.jpg,,chair,0.6586,chairs
dataset/raw/chair/chair_11.jpg,,chair,0.9269,chairs
dataset/raw/chair/chair_12.jpg,,chair;chair,0.8584;0.4043,chairs
dataset/raw/chair/chair_13.jpg,АшL SFLKS ШIШШ III: 6 Ш4 IAК,chair,0.9393,chairs
dataset/raw/chair/chair_14.jpg,,potted plant;chair;cup,0.9228;0.8634;0.5270,chairs
dataset/raw/chair/chair_15.jpg,,chair,0.9572,chairs
dataset/raw/chair/chair_16.jpg,,chair,0.8960,chairs
dataset/raw/chair/chair_17.jpg,,airplane,0.5717,chairs
